territori,tipus_de_territori,any,atur
el raval,Barri,2005,
el barri gotic,Barri,2005,
la barceloneta,Barri,2005,
sant pere santa caterina i la ribera,Barri,2005,
el fort pienc,Barri,2005,
la sagrada familia,Barri,2005,
la dreta de leixample,Barri,2005,
lantiga esquerra de leixample,Barri,2005,
la nova esquerra de leixample,Barri,2005,
sant antoni,Barri,2005,
el poble sec,Barri,2005,
la marina del prat vermell,Barri,2005,
la marina de port,Barri,2005,
la font de la guatlla,Barri,2005,
hostafrancs,Barri,2005,
la bordeta,Barri,2005,
sants badal,Barri,2005,
sants,Barri,2005,
les corts,Barri,2005,
la maternitat i sant ramon,Barri,2005,
pedralbes,Barri,2005,
vallvidrera el tibidabo i les planes,Barri,2005,
sarria,Barri,2005,
les tres torres,Barri,2005,
sant gervasi la bonanova,Barri,2005,
sant gervasi galvany,Barri,2005,
el putxet i el farro,Barri,2005,
vallcarca i els penitents,Barri,2005,
el coll,Barri,2005,
la salut,Barri,2005,
la vila de gracia,Barri,2005,
el camp den grassot i gracia nova,Barri,2005,
el baix guinardo,Barri,2005,
can baro,Barri,2005,
el guinardo,Barri,2005,
la font den fargues,Barri,2005,
el carmel,Barri,2005,
la teixonera,Barri,2005,
sant genis dels agudells,Barri,2005,
montbau,Barri,2005,
la vall dhebron,Barri,2005,
la clota,Barri,2005,
horta,Barri,2005,
vilapicina i la torre llobeta,Barri,2005,
porta,Barri,2005,
el turo de la peira,Barri,2005,
can peguera,Barri,2005,
la guineueta,Barri,2005,
canyelles,Barri,2005,
les roquetes,Barri,2005,
verdun,Barri,2005,
la prosperitat,Barri,2005,
la trinitat nova,Barri,2005,
torre baro,Barri,2005,
ciutat meridiana,Barri,2005,
vallbona,Barri,2005,
la trinitat vella,Barri,2005,
baro de viver,Barri,2005,
el bon pastor,Barri,2005,
sant andreu,Barri,2005,
la sagrera,Barri,2005,
el congres i els indians,Barri,2005,
navas,Barri,2005,
el camp de larpa del clot,Barri,2005,
el clot,Barri,2005,
el parc i la llacuna del poblenou,Barri,2005,
la vila olimpica del poblenou,Barri,2005,
el poblenou,Barri,2005,
diagonal mar i el front maritim del poblenou,Barri,2005,
el besos i el maresme,Barri,2005,
provencals del poblenou,Barri,2005,
sant marti de provencals,Barri,2005,
la verneda i la pau,Barri,2005,
no consta,Barri,2005,
el raval,Barri,2006,
el barri gotic,Barri,2006,
la barceloneta,Barri,2006,
sant pere santa caterina i la ribera,Barri,2006,
el fort pienc,Barri,2006,
la sagrada familia,Barri,2006,
la dreta de leixample,Barri,2006,
lantiga esquerra de leixample,Barri,2006,
la nova esquerra de leixample,Barri,2006,
sant antoni,Barri,2006,
el poble sec,Barri,2006,
la marina del prat vermell,Barri,2006,
la marina de port,Barri,2006,
la font de la guatlla,Barri,2006,
hostafrancs,Barri,2006,
la bordeta,Barri,2006,
sants badal,Barri,2006,
sants,Barri,2006,
les corts,Barri,2006,
la maternitat i sant ramon,Barri,2006,
pedralbes,Barri,2006,
vallvidrera el tibidabo i les planes,Barri,2006,
sarria,Barri,2006,
les tres torres,Barri,2006,
sant gervasi la bonanova,Barri,2006,
sant gervasi galvany,Barri,2006,
el putxet i el farro,Barri,2006,
vallcarca i els penitents,Barri,2006,
el coll,Barri,2006,
la salut,Barri,2006,
la vila de gracia,Barri,2006,
el camp den grassot i gracia nova,Barri,2006,
el baix guinardo,Barri,2006,
can baro,Barri,2006,
el guinardo,Barri,2006,
la font den fargues,Barri,2006,
el carmel,Barri,2006,
la teixonera,Barri,2006,
sant genis dels agudells,Barri,2006,
montbau,Barri,2006,
la vall dhebron,Barri,2006,
la clota,Barri,2006,
horta,Barri,2006,
vilapicina i la torre llobeta,Barri,2006,
porta,Barri,2006,
el turo de la peira,Barri,2006,
can peguera,Barri,2006,
la guineueta,Barri,2006,
canyelles,Barri,2006,
les roquetes,Barri,2006,
verdun,Barri,2006,
la prosperitat,Barri,2006,
la trinitat nova,Barri,2006,
torre baro,Barri,2006,
ciutat meridiana,Barri,2006,
vallbona,Barri,2006,
