any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id
2000,Barri,baro de viver,,,2368,2351.0,0.0,0.0,16.0,,,,,,,,,0
2001,Barri,baro de viver,,,2373,2354.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,0
2002,Barri,baro de viver,,,2393,2363.0,0.0,0.0,26.0,,,,,,,,,0
2003,Barri,baro de viver,,,2382,2334.0,0.0,6.0,41.0,,,,,,,,,0
2004,Barri,baro de viver,,,2365,2301.0,0.0,0.0,60.0,,,,,,,,,0
2005,Barri,baro de viver,,,2382,2300.0,0.0,5.0,77.0,,,,,,,,,0
2006,Barri,baro de viver,,,2421,2302.0,0.0,11.0,108.0,,,,,,,,,0
2007,Barri,baro de viver,,,2417,2287.0,0.0,13.0,117.0,,,,,,,,,0
2008,Barri,baro de viver,,,2458,2279.0,0.0,19.0,160.0,,,,,,,,,0
2009,Barri,baro de viver,,,2452,2278.0,0.0,17.0,157.0,,,,,,,,,0
2010,Barri,baro de viver,,,2392,2222.0,0.0,16.0,154.0,,,,,,,,,0
2011,Barri,baro de viver,,,2411,2244.0,0.0,18.0,149.0,0.0,0.0,0.0,0.0,1700.0,,,,0
2012,Barri,baro de viver,,,2411,2227.0,0.0,23.0,161.0,,,,,1830.0,,,,0
2013,Barri,baro de viver,,,2416,2210.0,0.0,25.0,181.0,,,,,1880.0,,,,0
2014,Barri,baro de viver,,39.0,2479,2226.0,0.0,28.0,225.0,,,,,1810.0,280.0,58.9,,0
2015,Barri,baro de viver,54.054970463386,48.0,2482,2226.0,0.0,32.0,224.0,,,,,1690.0,250.0,56.9,,0
2016,Barri,baro de viver,54.151999961414,35.0,2511,2249.0,0.0,35.0,227.0,,,,,1520.0,180.0,59.6,,0
2017,Barri,baro de viver,54.2584253524769,62.0,2539,2247.0,0.0,35.0,257.0,,,,,1320.0,110.0,72.9,,0
