territori,tipus_de_territori,nacionalitat_espanya_ue_resta_estranger,any,poblacio
el raval,Barri,Espanya,1997,31117.0
el raval,Barri,Resta de la Unió Europea,1997,249.0
el raval,Barri,Resta del món,1997,2730.0
el raval,Barri,No consta,1997,
el barri gotic,Barri,Espanya,1997,12675.0
el barri gotic,Barri,Resta de la Unió Europea,1997,189.0
el barri gotic,Barri,Resta del món,1997,699.0
el barri gotic,Barri,No consta,1997,
la barceloneta,Barri,Espanya,1997,14378.0
la barceloneta,Barri,Resta de la Unió Europea,1997,35.0
la barceloneta,Barri,Resta del món,1997,351.0
la barceloneta,Barri,No consta,1997,
sant pere santa caterina i la ribera,Barri,Espanya,1997,18409.0
sant pere santa caterina i la ribera,Barri,Resta de la Unió Europea,1997,217.0
sant pere santa caterina i la ribera,Barri,Resta del món,1997,1216.0
sant pere santa caterina i la ribera,Barri,No consta,1997,
el fort pienc,Barri,Espanya,1997,27577.0
el fort pienc,Barri,Resta de la Unió Europea,1997,160.0
el fort pienc,Barri,Resta del món,1997,397.0
el fort pienc,Barri,No consta,1997,5.0
la sagrada familia,Barri,Espanya,1997,47764.0
la sagrada familia,Barri,Resta de la Unió Europea,1997,169.0
la sagrada familia,Barri,Resta del món,1997,540.0
la sagrada familia,Barri,No consta,1997,8.0
la dreta de leixample,Barri,Espanya,1997,38277.0
la dreta de leixample,Barri,Resta de la Unió Europea,1997,340.0
la dreta de leixample,Barri,Resta del món,1997,498.0
la dreta de leixample,Barri,No consta,1997,
lantiga esquerra de leixample,Barri,Espanya,1997,38201.0
lantiga esquerra de leixample,Barri,Resta de la Unió Europea,1997,303.0
lantiga esquerra de leixample,Barri,Resta del món,1997,669.0
lantiga esquerra de leixample,Barri,No consta,1997,
la nova esquerra de leixample,Barri,Espanya,1997,53972.0
la nova esquerra de leixample,Barri,Resta de la Unió Europea,1997,309.0
la nova esquerra de leixample,Barri,Resta del món,1997,859.0
la nova esquerra de leixample,Barri,No consta,1997,
sant antoni,Barri,Espanya,1997,35352.0
sant antoni,Barri,Resta de la Unió Europea,1997,159.0
sant antoni,Barri,Resta del món,1997,492.0
sant antoni,Barri,No consta,1997,5.0
el poble sec,Barri,Espanya,1997,33022.0
el poble sec,Barri,Resta de la Unió Europea,1997,106.0
el poble sec,Barri,Resta del món,1997,650.0
el poble sec,Barri,No consta,1997,
la marina del prat vermell,Barri,Espanya,1997,1799.0
la marina del prat vermell,Barri,Resta de la Unió Europea,1997,
la marina del prat vermell,Barri,Resta del món,1997,8.0
la marina del prat vermell,Barri,No consta,1997,
la marina de port,Barri,Espanya,1997,26816.0
la marina de port,Barri,Resta de la Unió Europea,1997,47.0
la marina de port,Barri,Resta del món,1997,221.0
la marina de port,Barri,No consta,1997,
la font de la guatlla,Barri,Espanya,1997,8887.0
la font de la guatlla,Barri,Resta de la Unió Europea,1997,37.0
la font de la guatlla,Barri,Resta del món,1997,114.0
la font de la guatlla,Barri,No consta,1997,
hostafrancs,Barri,Espanya,1997,14324.0
hostafrancs,Barri,Resta de la Unió Europea,1997,55.0
hostafrancs,Barri,Resta del món,1997,273.0
hostafrancs,Barri,No consta,1997,
la bordeta,Barri,Espanya,1997,17048.0
la bordeta,Barri,Resta de la Unió Europea,1997,38.0
la bordeta,Barri,Resta del món,1997,202.0
la bordeta,Barri,No consta,1997,
sants badal,Barri,Espanya,1997,23334.0
sants badal,Barri,Resta de la Unió Europea,1997,55.0
sants badal,Barri,Resta del món,1997,265.0
sants badal,Barri,No consta,1997,
sants,Barri,Espanya,1997,37761.0
sants,Barri,Resta de la Unió Europea,1997,109.0
sants,Barri,Resta del món,1997,434.0
sants,Barri,No consta,1997,
les corts,Barri,Espanya,1997,45113.0
les corts,Barri,Resta de la Unió Europea,1997,311.0
les corts,Barri,Resta del món,1997,451.0
les corts,Barri,No consta,1997,7.0
la maternitat i sant ramon,Barri,Espanya,1997,24089.0
la maternitat i sant ramon,Barri,Resta de la Unió Europea,1997,131.0
la maternitat i sant ramon,Barri,Resta del món,1997,234.0
la maternitat i sant ramon,Barri,No consta,1997,
pedralbes,Barri,Espanya,1997,10395.0
pedralbes,Barri,Resta de la Unió Europea,1997,276.0
pedralbes,Barri,Resta del món,1997,231.0
pedralbes,Barri,No consta,1997,
