territori,tipus_de_territori,any,poblacio_total
el raval,Barri,1997,34099
el barri gotic,Barri,1997,13565
la barceloneta,Barri,1997,14764
sant pere santa caterina i la ribera,Barri,1997,19842
el fort pienc,Barri,1997,28139
la sagrada familia,Barri,1997,48481
la dreta de leixample,Barri,1997,39117
lantiga esquerra de leixample,Barri,1997,39174
la nova esquerra de leixample,Barri,1997,55142
sant antoni,Barri,1997,36008
el poble sec,Barri,1997,33779
la marina del prat vermell,Barri,1997,1809
la marina de port,Barri,1997,27085
la font de la guatlla,Barri,1997,9039
hostafrancs,Barri,1997,14654
la bordeta,Barri,1997,17290
sants badal,Barri,1997,23654
sants,Barri,1997,38306
les corts,Barri,1997,45882
la maternitat i sant ramon,Barri,1997,24455
pedralbes,Barri,1997,10905
vallvidrera el tibidabo i les planes,Barri,1997,3033
sarria,Barri,1997,20559
les tres torres,Barri,1997,13206
sant gervasi la bonanova,Barri,1997,21737
sant gervasi galvany,Barri,1997,43593
el putxet i el farro,Barri,1997,26394
vallcarca i els penitents,Barri,1997,14288
el coll,Barri,1997,6658
la salut,Barri,1997,12858
la vila de gracia,Barri,1997,46951
el camp den grassot i gracia nova,Barri,1997,33656
el baix guinardo,Barri,1997,25027
can baro,Barri,1997,8868
el guinardo,Barri,1997,34553
la font den fargues,Barri,1997,9810
el carmel,Barri,1997,33821
la teixonera,Barri,1997,11336
sant genis dels agudells,Barri,1997,7206
montbau,Barri,1997,5281
la vall dhebron,Barri,1997,5446
la clota,Barri,1997,447
horta,Barri,1997,26481
vilapicina i la torre llobeta,Barri,1997,24865
porta,Barri,1997,24160
el turo de la peira,Barri,1997,14838
can peguera,Barri,1997,2274
la guineueta,Barri,1997,17155
canyelles,Barri,1997,8744
les roquetes,Barri,1997,15636
verdun,Barri,1997,12919
la prosperitat,Barri,1997,27899
la trinitat nova,Barri,1997,7594
torre baro,Barri,1997,2368
ciutat meridiana,Barri,1997,9824
vallbona,Barri,1997,721
la trinitat vella,Barri,1997,7803
baro de viver,Barri,1997,2296
el bon pastor,Barri,1997,10060
sant andreu,Barri,1997,51695
la sagrera,Barri,1997,28005
el congres i els indians,Barri,1997,13718
navas,Barri,1997,20979
el camp de larpa del clot,Barri,1997,36534
el clot,Barri,1997,22972
el parc i la llacuna del poblenou,Barri,1997,12334
la vila olimpica del poblenou,Barri,1997,6002
el poblenou,Barri,1997,23833
diagonal mar i el front maritim del poblenou,Barri,1997,4149
el besos i el maresme,Barri,1997,21540
provencals del poblenou,Barri,1997,16868
sant marti de provencals,Barri,1997,27358
la verneda i la pau,Barri,1997,32122
el raval,Barri,1998,35145
el barri gotic,Barri,1998,14127
la barceloneta,Barri,1998,14910
sant pere santa caterina i la ribera,Barri,1998,20124
el fort pienc,Barri,1998,28272
la sagrada familia,Barri,1998,48914
la dreta de leixample,Barri,1998,39519
lantiga esquerra de leixample,Barri,1998,39585
la nova esquerra de leixample,Barri,1998,55283
sant antoni,Barri,1998,36297
el poble sec,Barri,1998,34220
la marina del prat vermell,Barri,1998,1763
la marina de port,Barri,1998,27415
la font de la guatlla,Barri,1998,9278
hostafrancs,Barri,1998,14805
la bordeta,Barri,1998,17570
sants badal,Barri,1998,23800
sants,Barri,1998,38451
les corts,Barri,1998,46595
la maternitat i sant ramon,Barri,1998,24582
pedralbes,Barri,1998,11186
vallvidrera el tibidabo i les planes,Barri,1998,3171
sarria,Barri,1998,21114
les tres torres,Barri,1998,13505
sant gervasi la bonanova,Barri,1998,22142
sant gervasi galvany,Barri,1998,43918
el putxet i el farro,Barri,1998,26920
vallcarca i els penitents,Barri,1998,14366
el coll,Barri,1998,6673
la salut,Barri,1998,12956
la vila de gracia,Barri,1998,47234
el camp den grassot i gracia nova,Barri,1998,34025
el baix guinardo,Barri,1998,25105
can baro,Barri,1998,9069
el guinardo,Barri,1998,34585
la font den fargues,Barri,1998,9860
el carmel,Barri,1998,33860
la teixonera,Barri,1998,11379
sant genis dels agudells,Barri,1998,7187
montbau,Barri,1998,5274
la vall dhebron,Barri,1998,5505
la clota,Barri,1998,461
horta,Barri,1998,26529
vilapicina i la torre llobeta,Barri,1998,24930
porta,Barri,1998,24141
el turo de la peira,Barri,1998,14740
can peguera,Barri,1998,2331
la guineueta,Barri,1998,17030
canyelles,Barri,1998,8687
les roquetes,Barri,1998,15676
verdun,Barri,1998,12836
la prosperitat,Barri,1998,27899
la trinitat nova,Barri,1998,7785
torre baro,Barri,1998,2396
ciutat meridiana,Barri,1998,9838
vallbona,Barri,1998,791
la trinitat vella,Barri,1998,7902
baro de viver,Barri,1998,2355
el bon pastor,Barri,1998,10130
sant andreu,Barri,1998,52069
la sagrera,Barri,1998,27985
el congres i els indians,Barri,1998,13744
navas,Barri,1998,21246
el camp de larpa del clot,Barri,1998,36884
el clot,Barri,1998,23270
el parc i la llacuna del poblenou,Barri,1998,12394
la vila olimpica del poblenou,Barri,1998,6422
el poblenou,Barri,1998,24137
diagonal mar i el front maritim del poblenou,Barri,1998,4163
el besos i el maresme,Barri,1998,21618
provencals del poblenou,Barri,1998,17207
sant marti de provencals,Barri,1998,27643
la verneda i la pau,Barri,1998,32098
el raval,Barri,1999,35356
el barri gotic,Barri,1999,14480
la barceloneta,Barri,1999,14937
sant pere santa caterina i la ribera,Barri,1999,19767
el fort pienc,Barri,1999,28366
la sagrada familia,Barri,1999,49021
la dreta de leixample,Barri,1999,39514
lantiga esquerra de leixample,Barri,1999,39416
la nova esquerra de leixample,Barri,1999,55206
sant antoni,Barri,1999,36217
el poble sec,Barri,1999,34275
la marina del prat vermell,Barri,1999,1852
la marina de port,Barri,1999,27330
la font de la guatlla,Barri,1999,9380
hostafrancs,Barri,1999,14662
la bordeta,Barri,1999,17594
sants badal,Barri,1999,23738
sants,Barri,1999,38188
les corts,Barri,1999,46611
la maternitat i sant ramon,Barri,1999,24511
pedralbes,Barri,1999,11164
vallvidrera el tibidabo i les planes,Barri,1999,3117
sarria,Barri,1999,21416
les tres torres,Barri,1999,13712
sant gervasi la bonanova,Barri,1999,22274
sant gervasi galvany,Barri,1999,44085
el putxet i el farro,Barri,1999,26960
vallcarca i els penitents,Barri,1999,14241
el coll,Barri,1999,6691
la salut,Barri,1999,13092
la vila de gracia,Barri,1999,46991
el camp den grassot i gracia nova,Barri,1999,33990
el baix guinardo,Barri,1999,24978
can baro,Barri,1999,8953
el guinardo,Barri,1999,34442
la font den fargues,Barri,1999,9844
el carmel,Barri,1999,33371
la teixonera,Barri,1999,11377
sant genis dels agudells,Barri,1999,7121
montbau,Barri,1999,5173
la vall dhebron,Barri,1999,5520
la clota,Barri,1999,467
horta,Barri,1999,26382
vilapicina i la torre llobeta,Barri,1999,24961
porta,Barri,1999,24008
el turo de la peira,Barri,1999,14583
can peguera,Barri,1999,2286
la guineueta,Barri,1999,16796
canyelles,Barri,1999,8503
les roquetes,Barri,1999,15382
verdun,Barri,1999,12649
la prosperitat,Barri,1999,27276
la trinitat nova,Barri,1999,7663
torre baro,Barri,1999,2326
ciutat meridiana,Barri,1999,9803
vallbona,Barri,1999,811
la trinitat vella,Barri,1999,7979
baro de viver,Barri,1999,2355
el bon pastor,Barri,1999,10025
sant andreu,Barri,1999,52049
la sagrera,Barri,1999,27850
el congres i els indians,Barri,1999,13572
navas,Barri,1999,21407
el camp de larpa del clot,Barri,1999,36804
el clot,Barri,1999,23662
el parc i la llacuna del poblenou,Barri,1999,12396
la vila olimpica del poblenou,Barri,1999,6721
el poblenou,Barri,1999,24234
diagonal mar i el front maritim del poblenou,Barri,1999,4117
el besos i el maresme,Barri,1999,21447
provencals del poblenou,Barri,1999,17117
sant marti de provencals,Barri,1999,27576
la verneda i la pau,Barri,1999,31700
el raval,Barri,2000,35333
el barri gotic,Barri,2000,14807
la barceloneta,Barri,2000,14911
sant pere santa caterina i la ribera,Barri,2000,19473
el fort pienc,Barri,2000,28353
la sagrada familia,Barri,2000,48923
la dreta de leixample,Barri,2000,39574
lantiga esquerra de leixample,Barri,2000,38964
la nova esquerra de leixample,Barri,2000,55100
sant antoni,Barri,2000,35970
el poble sec,Barri,2000,33997
la marina del prat vermell,Barri,2000,1805
la marina de port,Barri,2000,27385
la font de la guatlla,Barri,2000,9352
hostafrancs,Barri,2000,14537
la bordeta,Barri,2000,17677
sants badal,Barri,2000,23444
sants,Barri,2000,37910
les corts,Barri,2000,46568
la maternitat i sant ramon,Barri,2000,24586
pedralbes,Barri,2000,11289
vallvidrera el tibidabo i les planes,Barri,2000,3199
sarria,Barri,2000,21556
les tres torres,Barri,2000,13785
sant gervasi la bonanova,Barri,2000,22496
sant gervasi galvany,Barri,2000,44205
el putxet i el farro,Barri,2000,27000
vallcarca i els penitents,Barri,2000,14155
el coll,Barri,2000,6670
la salut,Barri,2000,13023
la vila de gracia,Barri,2000,46531
el camp den grassot i gracia nova,Barri,2000,33711
el baix guinardo,Barri,2000,24761
can baro,Barri,2000,8858
el guinardo,Barri,2000,34049
la font den fargues,Barri,2000,9785
el carmel,Barri,2000,32803
la teixonera,Barri,2000,11367
sant genis dels agudells,Barri,2000,7068
montbau,Barri,2000,5100
la vall dhebron,Barri,2000,5543
la clota,Barri,2000,459
horta,Barri,2000,26293
vilapicina i la torre llobeta,Barri,2000,24834
porta,Barri,2000,23772
el turo de la peira,Barri,2000,14470
can peguera,Barri,2000,2244
la guineueta,Barri,2000,16497
canyelles,Barri,2000,8385
les roquetes,Barri,2000,15144
verdun,Barri,2000,12419
la prosperitat,Barri,2000,26870
la trinitat nova,Barri,2000,7680
torre baro,Barri,2000,2252
ciutat meridiana,Barri,2000,9712
vallbona,Barri,2000,816
la trinitat vella,Barri,2000,8024
baro de viver,Barri,2000,2368
el bon pastor,Barri,2000,9847
sant andreu,Barri,2000,52014
la sagrera,Barri,2000,27793
el congres i els indians,Barri,2000,13482
navas,Barri,2000,21286
el camp de larpa del clot,Barri,2000,36381
el clot,Barri,2000,24199
el parc i la llacuna del poblenou,Barri,2000,12420
la vila olimpica del poblenou,Barri,2000,7051
el poblenou,Barri,2000,24197
diagonal mar i el front maritim del poblenou,Barri,2000,4267
el besos i el maresme,Barri,2000,21207
provencals del poblenou,Barri,2000,17106
sant marti de provencals,Barri,2000,27183
la verneda i la pau,Barri,2000,31141
el raval,Barri,2001,37584
el barri gotic,Barri,2001,16301
la barceloneta,Barri,2001,15110
sant pere santa caterina i la ribera,Barri,2001,20008
el fort pienc,Barri,2001,28710
la sagrada familia,Barri,2001,49563
la dreta de leixample,Barri,2001,39823
lantiga esquerra de leixample,Barri,2001,39129
la nova esquerra de leixample,Barri,2001,55424
sant antoni,Barri,2001,35976
el poble sec,Barri,2001,34517
la marina del prat vermell,Barri,2001,1764
la marina de port,Barri,2001,27627
la font de la guatlla,Barri,2001,9404
hostafrancs,Barri,2001,14465
la bordeta,Barri,2001,17997
sants badal,Barri,2001,23474
sants,Barri,2001,38159
les corts,Barri,2001,46468
la maternitat i sant ramon,Barri,2001,24523
pedralbes,Barri,2001,11278
vallvidrera el tibidabo i les planes,Barri,2001,3244
sarria,Barri,2001,21630
les tres torres,Barri,2001,14109
sant gervasi la bonanova,Barri,2001,22629
sant gervasi galvany,Barri,2001,44420
el putxet i el farro,Barri,2001,27043
vallcarca i els penitents,Barri,2001,14385
el coll,Barri,2001,6681
la salut,Barri,2001,12978
la vila de gracia,Barri,2001,46410
el camp den grassot i gracia nova,Barri,2001,33697
el baix guinardo,Barri,2001,24847
can baro,Barri,2001,8848
el guinardo,Barri,2001,34282
la font den fargues,Barri,2001,9748
el carmel,Barri,2001,32541
la teixonera,Barri,2001,11480
sant genis dels agudells,Barri,2001,6994
montbau,Barri,2001,5095
la vall dhebron,Barri,2001,5508
la clota,Barri,2001,454
horta,Barri,2001,26278
vilapicina i la torre llobeta,Barri,2001,24996
porta,Barri,2001,23798
el turo de la peira,Barri,2001,14488
can peguera,Barri,2001,2185
la guineueta,Barri,2001,16266
canyelles,Barri,2001,8159
les roquetes,Barri,2001,15067
verdun,Barri,2001,12288
la prosperitat,Barri,2001,26775
la trinitat nova,Barri,2001,7654
torre baro,Barri,2001,2189
ciutat meridiana,Barri,2001,9624
vallbona,Barri,2001,827
la trinitat vella,Barri,2001,8123
baro de viver,Barri,2001,2373
el bon pastor,Barri,2001,9893
sant andreu,Barri,2001,52319
la sagrera,Barri,2001,27948
el congres i els indians,Barri,2001,13381
navas,Barri,2001,21521
el camp de larpa del clot,Barri,2001,36593
el clot,Barri,2001,24867
el parc i la llacuna del poblenou,Barri,2001,12462
la vila olimpica del poblenou,Barri,2001,7289
el poblenou,Barri,2001,24652
diagonal mar i el front maritim del poblenou,Barri,2001,4963
el besos i el maresme,Barri,2001,21036
provencals del poblenou,Barri,2001,17130
sant marti de provencals,Barri,2001,26974
la verneda i la pau,Barri,2001,30676
el raval,Barri,2002,41898
el barri gotic,Barri,2002,19835
la barceloneta,Barri,2002,15507
sant pere santa caterina i la ribera,Barri,2002,21296
el fort pienc,Barri,2002,29749
la sagrada familia,Barri,2002,51539
la dreta de leixample,Barri,2002,41359
lantiga esquerra de leixample,Barri,2002,40760
la nova esquerra de leixample,Barri,2002,57422
sant antoni,Barri,2002,37246
el poble sec,Barri,2002,36577
la marina del prat vermell,Barri,2002,1672
la marina de port,Barri,2002,28103
la font de la guatlla,Barri,2002,9731
hostafrancs,Barri,2002,14749
la bordeta,Barri,2002,18429
sants badal,Barri,2002,24103
sants,Barri,2002,39069
les corts,Barri,2002,46739
la maternitat i sant ramon,Barri,2002,24681
pedralbes,Barri,2002,11604
vallvidrera el tibidabo i les planes,Barri,2002,3426
sarria,Barri,2002,22406
les tres torres,Barri,2002,14892
sant gervasi la bonanova,Barri,2002,23261
sant gervasi galvany,Barri,2002,45790
el putxet i el farro,Barri,2002,27983
vallcarca i els penitents,Barri,2002,15068
el coll,Barri,2002,6854
la salut,Barri,2002,13134
la vila de gracia,Barri,2002,48352
el camp den grassot i gracia nova,Barri,2002,34502
el baix guinardo,Barri,2002,25455
can baro,Barri,2002,9046
el guinardo,Barri,2002,35029
la font den fargues,Barri,2002,9777
el carmel,Barri,2002,33097
la teixonera,Barri,2002,11833
sant genis dels agudells,Barri,2002,7187
montbau,Barri,2002,5255
la vall dhebron,Barri,2002,5611
la clota,Barri,2002,453
horta,Barri,2002,26630
vilapicina i la torre llobeta,Barri,2002,25675
porta,Barri,2002,24073
el turo de la peira,Barri,2002,14667
can peguera,Barri,2002,2150
la guineueta,Barri,2002,16052
canyelles,Barri,2002,8185
les roquetes,Barri,2002,15475
verdun,Barri,2002,12434
la prosperitat,Barri,2002,27168
la trinitat nova,Barri,2002,7761
torre baro,Barri,2002,2177
ciutat meridiana,Barri,2002,9613
vallbona,Barri,2002,831
la trinitat vella,Barri,2002,8493
baro de viver,Barri,2002,2393
el bon pastor,Barri,2002,10032
sant andreu,Barri,2002,53811
la sagrera,Barri,2002,28479
el congres i els indians,Barri,2002,13514
navas,Barri,2002,22147
el camp de larpa del clot,Barri,2002,38125
el clot,Barri,2002,26150
el parc i la llacuna del poblenou,Barri,2002,12771
la vila olimpica del poblenou,Barri,2002,7657
el poblenou,Barri,2002,25988
diagonal mar i el front maritim del poblenou,Barri,2002,6185
el besos i el maresme,Barri,2002,21264
provencals del poblenou,Barri,2002,17466
