Territori,Tipus de territori,Nacionalitat (Espanya/UE/Resta estranger),01 Gen. 1997,01 Gen. 1998,01 Gen. 1999,01 Gen. 2000,01 Gen. 2001,01 Gen. 2002,01 Gen. 2003,01 Gen. 2004,01 Gen. 2005,01 Gen. 2006,01 Gen. 2007,01 Gen. 2008,01 Gen. 2009,01 Gen. 2010,01 Gen. 2011,01 Gen. 2012,01 Gen. 2013,01 Gen. 2014,01 Gen. 2015,01 Gen. 2016,01 Gen. 2017,01 Gen. 2018,01 Gen. 2019,01 Gen. 2020,01 Gen. 2021,01 Gen. 2022,01 Gen. 2023,01 Gen. 2024,01 Gen. 2025
Barcelona,Municipi,Espanya,1.467.063,1.474.740,1.465.518,1.451.247,1.433.986,1.435.676,1.414.749,1.391.575,1.372.461,1.359.040,1.348.056,1.341.107,1.336.490,1.335.882,1.335.652,1.336.800,1.332.044,1.330.207,1.341.843,1.342.637,1.336.462,1.327.310,1.316.842,1.305.560,1.288.787,1.276.405,1.268.444,1.269.953,1.274.498
Barcelona,Municipi,Resta de la Unió Europea,7.409,8.465,9.476,10.614,12.593,18.076,23.510,29.262,36.312,43.095,58.463,69.375,75.738,75.065,69.538,72.667,77.349,79.781,80.628,82.924,88.460,91.662,102.933,108.291,102.263,106.466,107.031,114.693,121.513
Barcelona,Municipi,Resta del món,19.108,23.713,28.721,35.401,60.317,100.725,142.611,167.345,190.065,207.381,187.430,204.228,219.375,208.498,209.227,210.194,203.258,192.273,182.024,184.647,199.976,209.740,230.366,252.447,269.026,256.886,284.672,317.863,335.732
Barcelona,Municipi,No consta,83,108,125,174,225,949,943,435,499,541,484,468,250,168,172,169,184,189,205,219,239,224,217,232,238,224,288,305,323
Ciutat Vella,Districte,Espanya,76.579,77.114,75.847,74.140,72.318,71.156,69.231,67.409,65.756,64.563,63.570,62.670,61.794,61.427,60.853,60.316,58.794,57.378,57.480,56.976,56.071,54.768,53.546,52.439,51.938,51.140,50.809,51.146,52.133
Ciutat Vella,Districte,Resta de la Unió Europea,690,891,1.047,1.348,1.771,2.728,3.735,4.769,6.071,7.458,10.324,11.905,12.963,12.268,11.195,11.912,12.882,13.448,13.750,14.203,15.142,15.300,17.206,17.371,15.682,15.510,14.747,15.396,15.797
Ciutat Vella,Districte,Resta del món,4.996,6.293,7.633,9.020,14.890,24.537,33.552,37.648,41.191,42.254,37.830,37.157,35.232,30.948,31.501,32.106,31.609,29.852,28.908,29.165,30.921,31.959,34.959,38.405,42.013,39.343,40.856,44.581,47.342
Ciutat Vella,Districte,No consta,5,8,13,16,24,115,109,60,79,83,68,59,27,21,20,23,26,22,31,29,31,20,22,33,39,35,34,32,39
el Raval,Barri,Espanya,31.117,31.302,30.650,29.760,28.989,28.617,27.648,26.744,26.079,25.425,25.156,25.023,24.944,24.994,24.838,24.818,24.350,24.084,24.498,24.275,24.108,23.732,23.170,22.660,22.691,22.369,22.396,22.634,23.364
el Raval,Barri,Resta de la Unió Europea,249,309,341,408,509,854,1.136,1.496,1.849,2.237,3.172,3.681,4.065,4.070,3.700,3.966,4.233,4.285,4.347,4.445,4.731,4.884,5.502,5.602,5.033,4.909,4.563,4.840,5.064
el Raval,Barri,Resta del món,2.730,3.531,4.359,5.156,8.076,12.362,16.781,17.996,19.378,20.015,17.719,18.769,18.947,18.283,19.176,20.194,20.174,19.110,18.293,18.466,19.052,18.890,19.530,19.906,20.949,19.223,18.693,19.440,21.471
el Raval,Barri,No consta,..,..,6,9,10,65,62,21,23,22,14,15,7,9,11,13,14,11,12,10,10,8,8,12,15,19,19,20,18
el Barri Gòtic,Barri,Espanya,12.675,12.986,13.085,13.107,12.788,12.605,12.414,12.318,12.085,11.891,11.752,11.252,10.790,10.514,10.323,10.102,9.703,9.126,9.007,8.925,8.726,8.501,8.387,8.270,8.257,8.243,8.385,8.612,8.903
el Barri Gòtic,Barri,Resta de la Unió Europea,189,246,308,438,561,835,1.149,1.467,1.949,2.383,3.396,3.721,3.915,2.978,2.709,2.672,2.829,3.081,3.079,3.208,3.392,3.377,3.846,3.891,3.436,3.505,3.281,3.402,3.415
el Barri Gòtic,Barri,Resta del món,699,890,1.081,1.256,2.944,6.373,9.095,11.283,13.067,13.254,12.497,10.515,8.081,5.023,4.643,4.103,3.740,3.525,3.422,3.588,4.113,5.150,6.938,9.541,11.145,10.994,12.784,15.200,15.552
el Barri Gòtic,Barri,No consta,..,5,6,6,8,22,22,21,28,28,18,17,7,5,..,..,..,..,6,8,9,7,9,13,12,6,10,8,8
la Barceloneta,Barri,Espanya,14.378,14.425,14.303,14.049,13.732,13.388,13.047,12.617,12.248,12.010,11.740,11.658,11.472,11.443,11.315,11.091,10.755,10.485,10.331,10.263,9.855,9.536,9.246,8.990,8.786,8.472,8.264,8.247,8.199
la Barceloneta,Barri,Resta de la Unió Europea,35,47,69,120,176,263,386,474,644,874,1.259,1.578,1.763,1.887,1.693,1.846,2.009,2.074,2.178,2.290,2.526,2.576,2.868,2.893,2.759,2.598,2.619,2.675,2.753
la Barceloneta,Barri,Resta del món,351,438,565,742,1.200,1.842,2.537,2.858,2.888,2.957,2.626,2.906,2.992,2.759,2.739,2.772,2.726,2.547,2.527,2.512,2.716,2.780,3.058,3.227,3.577,3.270,3.390,3.603,3.793
la Barceloneta,Barri,No consta,-,-,-,-,..,14,13,9,16,22,21,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sant Pere, Santa Caterina i la Ribera",Barri,Espanya,18.409,18.401,17.809,17.224,16.809,16.546,16.122,15.730,15.344,15.237,14.922,14.737,14.588,14.476,14.377,14.305,13.986,13.683,13.644,13.513,13.382,12.999,12.743,12.519,12.204,12.056,11.764,11.653,11.667
"Sant Pere, Santa Caterina i la Ribera",Barri,Resta de la Unió Europea,217,289,329,382,525,776,1.064,1.332,1.629,1.964,2.497,2.925,3.220,3.333,3.093,3.428,3.811,4.008,4.146,4.260,4.493,4.463,4.990,4.985,4.454,4.498,4.284,4.479,4.565
"Sant Pere, Santa Caterina i la Ribera",Barri,Resta del món,1.216,1.434,1.628,1.866,2.670,3.960,5.139,5.511,5.858,6.028,4.988,4.967,5.212,4.883,4.943,5.037,4.969,4.670,4.666,4.599,5.040,5.139,5.433,5.731,6.342,5.856,5.989,6.338,6.526
"Sant Pere, Santa Caterina i la Ribera",Barri,No consta,-,-,..,..,..,14,12,9,12,11,15,15,9,6,..,..,5,7,12,8,8,..,..,6,9,8,..,..,9
Eixample,Districte,Espanya,241.143,241.903,240.687,238.394,235.379,236.891,233.072,228.406,224.735,223.210,221.058,220.176,218.774,217.727,217.218,217.136,215.636,214.636,215.617,215.114,213.127,210.553,207.597,204.802,201.077,198.457,195.917,195.130,195.017
Eixample,Districte,Resta de la Unió Europea,1.440,1.676,1.902,2.129,2.618,4.036,5.462,6.779,8.413,10.110,13.171,15.510,17.111,16.813,15.488,16.098,17.370,18.140,18.256,18.909,20.223,20.838,23.283,24.566,23.361,25.029,25.313,27.082,28.803
Eixample,Districte,Resta del món,3.455,4.263,5.120,6.324,10.581,16.959,23.183,26.813,30.426,32.734,27.853,29.828,32.466,31.117,31.526,32.305,31.905,30.728,29.624,30.475,33.851,35.383,38.231,41.337,44.851,43.318,47.534,52.344,54.305
Eixample,Districte,No consta,23,28,31,37,47,189,191,101,117,128,116,120,78,57,64,54,56,60,60,70,69,65,62,67,60,53,60,80,84
el Fort Pienc,Barri,Espanya,27.577,27.623,27.610,27.468,27.263,27.344,27.059,26.655,26.309,26.237,26.013,25.825,25.746,25.562,25.569,25.653,25.403,25.265,25.417,25.379,25.063,24.765,24.533,24.267,23.846,23.655,23.354,23.311,23.397
el Fort Pienc,Barri,Resta de la Unió Europea,160,183,200,222,267,458,622,769,972,1.161,1.534,1.910,2.123,2.059,2.014,2.149,2.289,2.385,2.340,2.453,2.699,2.771,3.093,3.298,3.231,3.404,3.445,3.788,4.039
