Territori,Tipus de territori,01 Gen. 1997,01 Gen. 1998,01 Gen. 1999,01 Gen. 2000,01 Gen. 2001,01 Gen. 2002,01 Gen. 2003,01 Gen. 2004,01 Gen. 2005,01 Gen. 2006,01 Gen. 2007,01 Gen. 2008,01 Gen. 2009,01 Gen. 2010,01 Gen. 2011,01 Gen. 2012,01 Gen. 2013,01 Gen. 2014,01 Gen. 2015,01 Gen. 2016,01 Febr. 2016,01 Març 2016,01 Abr. 2016,01 Maig 2016,01 Juny 2016,01 Jul. 2016,01 Ag. 2016,01 Set. 2016,01 Oct. 2016,01 Nov. 2016,01 Des. 2016,01 Gen. 2017,01 Febr. 2017,01 Març 2017,01 Abr. 2017,01 Maig 2017,01 Juny 2017,01 Jul. 2017,01 Ag. 2017,01 Set. 2017,01 Oct. 2017,01 Nov. 2017,01 Des. 2017,01 Gen. 2018,01 Febr. 2018,01 Març 2018,01 Abr. 2018,01 Maig 2018,01 Juny 2018,01 Jul. 2018,01 Ag. 2018,01 Set. 2018,01 Oct. 2018,01 Nov. 2018,01 Des. 2018,01 Gen. 2019,01 Febr. 2019,01 Març 2019,01 Abr. 2019,01 Maig 2019,01 Juny 2019,01 Jul. 2019,01 Ag. 2019,01 Set. 2019,01 Oct. 2019,01 Nov. 2019,01 Des. 2019,01 Gen. 2020,01 Febr. 2020,01 Març 2020,01 Abr. 2020,01 Maig 2020,01 Juny 2020,01 Jul. 2020,01 Ag. 2020,01 Set. 2020,01 Oct. 2020,01 Nov. 2020,01 Des. 2020,01 Gen. 2021,01 Febr. 2021,01 Març 2021,01 Abr. 2021,01 Maig 2021,01 Juny 2021,01 Jul. 2021,01 Ag. 2021,01 Set. 2021,01 Oct. 2021,01 Nov. 2021,01 Des. 2021,01 Gen. 2022,01 Febr. 2022,01 Març 2022,01 Abr. 2022,01 Maig 2022,01 Juny 2022,01 Jul. 2022,01 Ag. 2022,01 Set. 2022,01 Oct. 2022,01 Nov. 2022,01 Des. 2022,01 Gen. 2023,01 Febr. 2023,01 Març 2023,01 Abr. 2023,01 Maig 2023,01 Juny 2023,01 Jul. 2023,01 Ag. 2023,01 Set. 2023,01 Oct. 2023,01 Nov. 2023,01 Des. 2023,01 Gen. 2024,01 Febr. 2024,01 Març 2024,01 Abr. 2024,01 Maig 2024,01 Juny 2024,01 Jul. 2024,01 Ag. 2024,01 Set. 2024,01 Oct. 2024,01 Nov. 2024,01 Des. 2024,01 Gen. 2025,01 Febr. 2025,01 Març 2025,01 Abr. 2025,01 Maig 2025,01 Juny 2025,01 Jul. 2025,01 Ag. 2025,01 Set. 2025,01 Oct. 2025,01 Nov. 2025,01 Des. 2025
Barcelona,Municipi,1.493.663,1.507.026,1.503.840,1.497.436,1.507.121,1.555.426,1.581.813,1.588.617,1.599.337,1.610.057,1.594.433,1.615.178,1.631.853,1.619.613,1.614.589,1.619.830,1.612.835,1.602.450,1.604.700,1.610.427,1.613.172,1.604.242,1.607.117,1.611.198,1.614.474,1.608.908,1.606.412,1.610.215,1.611.696,1.618.481,1.623.988,1.625.137,1.625.724,1.608.602,1.614.481,1.618.387,1.615.102,1.617.690,1.612.732,1.614.232,1.620.170,1.624.312,1.631.420,1.628.936,1.631.298,1.630.905,1.635.033,1.639.158,1.642.423,1.641.753,1.644.386,1.647.152,1.645.761,1.653.190,1.660.518,1.650.358,1.656.991,1.664.853,1.667.189,1.667.056,1.671.657,1.674.994,1.664.319,1.666.916,1.654.893,1.665.487,1.666.132,1.666.530,1.673.579,1.659.334,1.661.152,1.658.279,1.656.545,1.655.513,1.651.635,1.651.886,1.653.034,1.656.366,1.658.723,1.660.314,1.660.086,1.661.691,1.658.509,1.648.983,1.649.699,1.653.123,1.635.156,1.639.089,1.645.212,1.646.303,1.645.734,1.639.981,1.646.171,1.627.474,1.638.032,1.645.219,1.643.015,1.646.788,1.643.511,1.648.736,1.656.725,1.663.665,1.672.309,1.660.435,1.670.481,1.666.203,1.676.285,1.683.904,1.692.163,1.697.550,1.701.891,1.700.895,1.707.608,1.706.712,1.715.062,1.702.814,1.707.677,1.700.006,1.706.978,1.713.060,1.708.936,1.711.753,1.714.286,1.718.149,1.722.316,1.733.123,1.733.476,1.732.066,1.726.285,1.718.620,1.727.051,1.733.130,1.734.267,1.730.640,1.729.627,1.733.394,1.739.455,1.733.434,1.740.682
Ciutat Vella,Districte,82.270,84.306,84.540,84.524,89.003,98.536,106.627,109.886,113.097,114.358,111.792,111.791,110.016,104.664,103.569,104.357,103.311,100.700,100.169,100.373,100.741,99.157,99.711,100.291,100.837,99.779,99.191,99.853,100.045,101.072,101.922,102.165,102.283,99.397,100.123,100.783,100.010,100.350,99.435,99.639,100.750,101.353,102.283,102.047,102.492,102.426,103.106,103.837,104.421,104.307,104.888,105.356,105.114,106.139,107.232,105.733,106.707,107.860,108.271,108.454,109.186,109.736,107.843,108.443,106.294,107.801,107.976,108.248,109.408,107.092,107.521,107.417,107.394,107.515,107.256,107.587,107.919,108.561,109.246,109.672,109.791,110.091,109.549,108.125,108.351,108.933,106.123,106.782,107.524,107.502,107.094,106.028,106.963,103.144,104.502,105.567,104.710,105.149,104.426,105.163,106.270,107.115,108.274,106.446,107.641,106.689,107.871,108.864,110.109,110.981,111.430,111.268,112.187,111.734,112.838,111.155,111.648,110.381,111.214,112.031,111.262,111.536,111.945,112.602,113.388,114.952,115.071,115.311,114.982,113.856,115.491,116.453,116.587,116.136,116.119,116.721,117.556,116.667,117.544
el Raval,Barri,34.099,35.145,35.356,35.333,37.584,41.898,45.627,46.257,47.329,47.699,46.061,47.488,47.963,47.356,47.725,48.991,48.771,47.490,47.150,47.196,47.358,46.641,46.925,47.286,47.590,47.074,46.659,46.969,46.957,47.416,47.827,47.901,47.912,46.654,47.039,47.396,47.029,47.137,46.670,46.790,47.152,47.280,47.698,47.514,47.655,47.519,47.724,48.043,48.227,48.150,48.399,48.578,48.311,48.628,48.979,48.210,48.576,49.001,49.103,49.101,49.299,49.550,48.646,48.822,47.730,48.280,48.215,48.180,48.566,47.542,47.723,47.697,47.709,47.805,47.670,47.895,48.002,48.297,48.577,48.688,48.775,48.896,48.576,47.729,47.770,47.974,46.712,46.986,47.244,47.117,47.022,46.520,46.815,45.197,45.609,45.841,45.387,45.549,45.123,45.451,45.799,46.124,46.527,45.671,46.084,45.577,46.011,46.272,46.711,46.796,46.893,46.647,47.024,46.867,47.485,46.934,47.334,46.909,47.354,47.793,47.559,47.760,48.045,48.417,48.923,49.643,49.691,49.917,49.692,49.327,50.232,50.763,50.948,50.797,50.912,51.224,51.601,51.267,51.608
el Barri Gòtic,Barri,13.565,14.127,14.480,14.807,16.301,19.835,22.680,25.089,27.129,27.556,27.663,25.505,22.793,18.520,17.678,16.881,16.276,15.735,15.514,15.729,15.824,15.470,15.595,15.721,15.772,15.606,15.544,15.690,15.774,15.994,16.146,16.240,16.278,15.783,15.895,15.986,15.977,16.116,16.066,16.129,16.440,16.763,16.974,17.035,17.208,17.309,17.518,17.747,17.994,18.002,18.188,18.345,18.497,18.816,19.270,19.180,19.523,19.981,20.249,20.480,20.788,20.941,20.687,20.927,20.682,21.159,21.372,21.715,22.182,21.879,22.016,22.007,22.024,22.056,22.161,22.244,22.339,22.446,22.694,22.850,22.820,22.918,22.820,22.759,22.958,23.159,22.735,22.956,23.170,23.315,22.932,22.748,23.118,22.301,22.940,23.493,23.275,23.503,23.539,23.775,24.149,24.411,24.822,24.460,24.869,24.940,25.432,25.944,26.435,27.060,27.249,27.476,27.723,27.555,27.761,27.222,27.239,26.864,27.025,27.139,26.823,26.917,27.018,27.160,27.285,27.696,27.859,27.878,27.916,27.429,27.726,27.915,27.849,27.744,27.632,27.783,27.882,27.469,27.751
la Barceloneta,Barri,14.764,14.910,14.937,14.911,15.110,15.507,15.983,15.958,15.796,15.863,15.646,16.154,16.231,16.090,15.749,15.712,15.493,15.107,15.037,15.068,15.109,14.907,14.962,15.006,15.065,14.880,14.792,14.819,14.826,14.949,15.066,15.101,15.125,14.643,14.726,14.839,14.689,14.715,14.562,14.568,14.739,14.806,14.950,14.893,14.911,14.906,15.004,15.070,15.143,15.142,15.175,15.239,15.163,15.313,15.422,15.173,15.254,15.398,15.383,15.374,15.468,15.525,15.198,15.278,14.938,15.096,15.142,15.112,15.292,14.911,14.985,14.945,14.900,14.916,14.842,14.865,14.923,15.041,15.071,15.125,15.070,15.083,15.030,14.762,14.744,14.804,14.365,14.415,14.504,14.476,14.488,14.342,14.443,13.979,14.125,14.217,14.180,14.214,14.102,14.136,14.294,14.415,14.536,14.274,14.415,14.232,14.348,14.427,14.534,14.557,14.609,14.582,14.708,14.650,14.753,14.526,14.589,14.416,14.486,14.530,14.426,14.391,14.438,14.508,14.562,14.762,14.729,14.749,14.602,14.447,14.595,14.713,14.718,14.676,14.672,14.715,14.837,14.764,14.877
"Sant Pere, Santa Caterina i la Ribera",Barri,19.842,20.124,19.767,19.473,20.008,21.296,22.337,22.582,22.843,23.240,22.422,22.644,23.029,22.698,22.417,22.773,22.771,22.368,22.468,22.380,22.450,22.139,22.229,22.278,22.410,22.219,22.196,22.375,22.488,22.713,22.883,22.923,22.968,22.317,22.463,22.562,22.315,22.382,22.137,22.152,22.419,22.504,22.661,22.605,22.718,22.692,22.860,22.977,23.057,23.013,23.126,23.194,23.143,23.382,23.561,23.170,23.354,23.480,23.536,23.499,23.631,23.720,23.312,23.416,22.944,23.266,23.247,23.241,23.368,22.760,22.797,22.768,22.761,22.738,22.583,22.583,22.655,22.777,22.904,23.009,23.126,23.194,23.123,22.875,22.879,22.996,22.311,22.425,22.606,22.594,22.652,22.418,22.587,21.667,21.828,22.016,21.868,21.883,21.662,21.801,22.028,22.165,22.389,22.041,22.273,21.940,22.080,22.221,22.429,22.568,22.679,22.563,22.732,22.662,22.839,22.473,22.486,22.192,22.349,22.569,22.454,22.468,22.444,22.517,22.618,22.851,22.792,22.767,22.772,22.653,22.938,23.062,23.072,22.919,22.903,22.999,23.236,23.167,23.308
Eixample,Districte,246.061,247.870,247.740,246.884,248.625,258.075,261.908,262.099,263.691,266.182,262.198,265.634,268.429,265.714,264.296,265.593,264.967,263.564,263.557,264.568,265.023,263.360,263.978,264.633,265.185,264.233,263.629,264.169,264.556,265.936,267.088,267.270,267.202,263.649,264.650,265.265,264.572,264.863,263.801,264.034,265.283,266.256,267.376,266.839,267.061,266.789,267.361,267.938,268.530,267.930,268.349,268.855,268.458,269.980,271.275,269.173,270.299,271.629,272.016,271.513,272.238,272.793,270.464,270.928,268.641,270.827,270.821,270.772,271.936,268.640,268.887,268.344,268.034,267.809,266.881,266.984,267.320,268.309,268.974,269.349,269.124,269.599,269.282,267.668,268.042,268.905,265.332,266.196,267.526,268.073,268.097,266.857,267.936,263.984,265.991,267.193,266.563,267.203,266.510,267.333,268.855,270.192,271.454,268.824,270.445,269.028,270.650,271.809,273.161,273.999,274.628,274.375,275.700,275.648,277.198,274.636,275.246,273.380,274.366,275.440,274.591,275.178,275.513,276.113,276.843,278.763,278.845,278.209,276.876,275.294,276.787,277.825,278.091,277.332,277.004,277.767,278.978,277.915,279.588
el Fort Pienc,Barri,28.139,28.272,28.366,28.353,28.710,29.749,30.407,30.537,30.929,31.505,31.121,32.159,33.079,32.648,32.387,32.286,31.755,31.489,31.548,31.693,31.764,31.584,31.692,31.782,31.864,31.739,31.677,31.761,31.766,31.947,32.100,32.137,32.163,31.732,31.847,31.949,31.880,31.947,31.820,31.841,32.012,32.118,32.213,32.170,32.285,32.341,32.427,32.500,32.589,32.483,32.559,32.610,32.609,32.769,32.952,32.738,32.916,33.152,33.211,33.146,33.311,33.393,33.169,33.228,32.992,33.337,33.419,33.473,33.636,33.376,33.374,33.308,33.250,33.189,33.131,33.137,33.194,31.612,33.422,33.445,33.464,33.559,33.548,33.353,33.394,33.555,33.217,33.335,33.480,33.605,33.610,33.445,33.566,33.125,33.502,33.715,33.588,33.777,33.812,33.941,34.225,34.428,34.624,34.403,34.744,34.744,35.070,35.358,35.680,35.960,36.169,36.243,36.410,36.350,36.439,36.119,36.144,35.950,36.068,36.158,36.060,36.174,36.321,36.374,36.434,36.694,36.773,36.621,36.605,36.441,36.692,36.909,37.064,37.026,37.036,37.196,37.502,37.399,37.803
la Sagrada Família,Barri,48.481,48.914,49.021,48.923,49.563,51.539,52.013,52.029,52.146,52.541,51.801,52.571,52.969,52.164,51.976,52.092,51.821,51.283,51.094,51.354,51.400,51.042,51.162,51.328,51.414,51.220,51.120,51.249,51.274,51.523,51.734,51.658,51.663,51.073,51.243,51.347,51.238,51.246,51.022,51.048,51.303,51.551,51.764,51.661,51.642,51.619,51.694,51.775,51.910,51.836,51.817,51.902,51.831,52.074,52.320,51.917,52.084,52.309,52.327,52.325,52.400,52.507,52.177,52.300,51.886,52.224,52.250,52.252,52.503,51.945,52.037,51.918,51.860,51.869,51.731,51.787,51.811,51.988,52.084,52.164,52.139,52.082,52.083,51.773,51.804,51.954,51.255,51.427,51.662,51.575,51.563,51.402,51.612,50.936,51.277,51.526,51.418,51.539,51.351,51.516,51.772,51.989,52.247,51.712,52.003,51.681,51.965,52.170,52.433,52.566,52.726,52.657,52.943,52.968,53.287,52.825,52.921,52.591,52.798,53.033,52.833,52.920,53.047,53.196,53.320,53.642,53.638,53.555,53.231,52.992,53.234,53.460,53.512,53.394,53.330,53.412,53.550,53.260,53.601
la Dreta de l'Eixample,Barri,39.117,39.519,39.514,39.574,39.823,41.359,42.271,42.147,42.439,42.888,42.277,42.735,43.410,43.063,42.856,43.285,43.399,43.343,43.558,43.692,43.766,43.457,43.506,43.618,43.685,43.511,43.454,43.564,43.734,43.981,44.193,44.224,44.159,43.436,43.639,43.684,43.525,43.579,43.404,43.423,43.594,43.712,43.935,43.853,43.893,43.815,43.965,44.044,44.135,43.983,44.103,44.162,44.057,44.375,44.555,44.189,44.317,44.575,44.649,44.511,44.650,44.760,44.339,44.401,43.969,44.345,44.339,44.298,44.519,43.814,43.866,43.759,43.727,43.668,43.482,43.460,43.568,45.480,43.967,44.088,44.033,44.192,44.221,44.058,44.157,44.328,43.733,43.898,44.170,44.317,44.389,44.156,44.411,43.708,43.981,44.146,43.952,43.963,43.793,43.853,44.075,44.336,44.529,44.105,44.392,44.094,44.299,44.518,44.764,44.861,44.862,44.846,45.134,45.087,45.350,44.887,45.013,44.655,44.825,45.026,44.904,44.947,44.982,45.120,45.378,45.744,45.812,45.667,45.400,45.153,45.397,45.568,45.664,45.556,45.450,45.594,45.778,45.659,45.920
