"year","type","areaType","areaId","areaLabel","value"
"2015","record","neighborhood","1","el Raval",56.8343591075839
"2016","record","neighborhood","1","el Raval",55.7622908517381
"2017","record","neighborhood","1","el Raval",57.9753768367047
"2018","record","neighborhood","1","el Raval",58.0818015903748
"2019","record","neighborhood","1","el Raval",57.116529373938
"2020","record","neighborhood","1","el Raval",54.0522360464874
"2021","record","neighborhood","1","el Raval",57.8143056689544
"2015","record","neighborhood","2","el Barri Gòtic",75.9616290787678
"2016","record","neighborhood","2","el Barri Gòtic",75.6895562125897
"2017","record","neighborhood","2","el Barri Gòtic",77.6892724948453
"2018","record","neighborhood","2","el Barri Gòtic",78.1286066553716
"2019","record","neighborhood","2","el Barri Gòtic",78.59041741061
"2020","record","neighborhood","2","el Barri Gòtic",77.2796023729295
"2021","record","neighborhood","2","el Barri Gòtic",79.0597502715795
"2015","record","neighborhood","3","la Barceloneta",74.0176526581955
"2016","record","neighborhood","3","la Barceloneta",72.6844290957849
"2017","record","neighborhood","3","la Barceloneta",73.5281191829435
"2018","record","neighborhood","3","la Barceloneta",73.9280073359929
"2019","record","neighborhood","3","la Barceloneta",73.8595213375533
"2020","record","neighborhood","3","la Barceloneta",72.3333015094689
"2021","record","neighborhood","3","la Barceloneta",76.8711264393947
"2015","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",77.6535457649228
"2016","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",79.1420399461725
"2017","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",81.9289210271279
"2018","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",83.5851983451671
"2019","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",83.2653156535266
"2020","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",81.1014223328896
"2021","record","neighborhood","4","Sant Pere, Santa Caterina i la Ribera",82.6969985551183
"2015","record","neighborhood","5","el Fort Pienc",104.789882905663
"2016","record","neighborhood","5","el Fort Pienc",103.937413482918
"2017","record","neighborhood","5","el Fort Pienc",104.416059978938
"2018","record","neighborhood","5","el Fort Pienc",103.681311520454
"2019","record","neighborhood","5","el Fort Pienc",104.366528475817
"2020","record","neighborhood","5","el Fort Pienc",103.809074259938
"2021","record","neighborhood","5","el Fort Pienc",105.077139679446
"2015","record","neighborhood","6","la Sagrada Família",104.327100236004
"2016","record","neighborhood","6","la Sagrada Família",102.6976930386
"2017","record","neighborhood","6","la Sagrada Família",101.71591983276
"2018","record","neighborhood","6","la Sagrada Família",101.831316390101
"2019","record","neighborhood","6","la Sagrada Família",101.253552067654
"2020","record","neighborhood","6","la Sagrada Família",101.618558514636
