Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barcelona,Municipi,"70,6","70,8","70,8","71,1","71,6","71,2","70,8","70,6","71,1","70,6","70,0","70,3","70,9","70,7","72,2","70,7","70,2","70,1","72,1","73,3","72,9","73,0","73,2","73,7","74,0","71,5"
Ciutat Vella,Districte,"64,6","63,9","64,6","67,2","68,4","64,2","65,1","65,2","66,4","66,2","64,0","62,7","61,9","61,2","63,3","61,1","60,3","60,6","68,8","69,7","68,8","69,6","70,1","70,4","69,5","61,7"
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"60,8","61,1","59,5","59,2","63,2","64,3","63,5","63,5","65,0","64,8","65,3","60,6"
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"81,6","79,5","76,5","77,6","81,2","83,2","82,3","83,4","81,4","85,5","80,9","79,3"
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"39,7","38,2","38,7","40,1","58,8","55,3","52,6","56,3","56,1","57,9","55,3","40,6"
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"69,7","64,5","65,2","66,1","71,2","72,3","71,4","71,9","72,6","72,0","73,0","64,5"
Eixample,Districte,"79,4","80,1","81,1","79,7","80,6","79,6","80,7","79,4","79,2","79,4","78,5","78,5","79,8","79,9","81,3","79,2","79,2","79,1","79,7","80,8","80,1","80,0","80,5","81,5","81,6","80,6"
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"78,1","74,3","74,9","74,0","76,1","76,4","75,8","75,6","76,7","77,2","77,2","78,4"
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"68,4","67,7","67,2","68,9","69,0","68,7","68,7","69,2","69,3","70,2","70,8","68,5"
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"104,7","98,1","98,4","98,1","98,8","99,3","98,9","98,6","100,3","102,6","101,8","99,7"
