Territori,Tipus de territori,Titulació acadèmica,01 Gen. 1981,01 Gen. 1991,01 Gen. 2001,01 Gen. 2011,01 Gen. 2021,01 Gen. 2022,01 Gen. 2023
Barcelona,Municipi,Educació primària o inferior,941.766,698.147,475.596,266.399,181.842,167.263,163.887
Barcelona,Municipi,Primera etapa d’educació secundària i similar,290.137,375.838,280.938,288.942,260.667,260.291,258.604
Barcelona,Municipi,Segona etapa d’educació secundària i similar,153.784,261.626,265.481,296.581,324.597,322.123,332.477
Barcelona,Municipi,Educació superior,86.813,171.893,354.522,537.413,663.033,672.539,706.661
Barcelona,Municipi,No consta,4.593,-,-,-,-,-,-
Ciutat Vella,Districte,Educació primària o inferior,-,-,-,-,16.716,14.858,15.102
Ciutat Vella,Districte,Primera etapa d’educació secundària i similar,-,-,-,-,19.527,19.448,19.630
Ciutat Vella,Districte,Segona etapa d’educació secundària i similar,-,-,-,-,19.686,19.309,20.492
Ciutat Vella,Districte,Educació superior,-,-,-,-,37.773,37.231,39.741
el Raval,Barri,Educació primària o inferior,-,-,-,-,7.893,6.921,6.640
el Raval,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,10.143,9.957,9.735
el Raval,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,8.451,8.199,8.490
el Raval,Barri,Educació superior,-,-,-,-,14.076,13.683,14.543
el Barri Gòtic,Barri,Educació primària o inferior,-,-,-,-,4.506,4.082,4.772
el Barri Gòtic,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,3.534,3.813,4.364
el Barri Gòtic,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,4.041,4.150,4.820
el Barri Gòtic,Barri,Educació superior,-,-,-,-,7.788,7.793,8.596
la Barceloneta,Barri,Educació primària o inferior,-,-,-,-,2.076,1.862,1.745
la Barceloneta,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,2.772,2.657,2.572
la Barceloneta,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,3.069,2.977,3.116
la Barceloneta,Barri,Educació superior,-,-,-,-,5.511,5.311,5.709
"Sant Pere, Santa Caterina i la Ribera",Barri,Educació primària o inferior,-,-,-,-,2.241,1.993,1.945
"Sant Pere, Santa Caterina i la Ribera",Barri,Primera etapa d’educació secundària i similar,-,-,-,-,3.078,3.021,2.959
"Sant Pere, Santa Caterina i la Ribera",Barri,Segona etapa d’educació secundària i similar,-,-,-,-,4.125,3.983,4.066
"Sant Pere, Santa Caterina i la Ribera",Barri,Educació superior,-,-,-,-,10.398,10.444,10.893
Eixample,Districte,Educació primària o inferior,-,-,-,-,20.781,18.990,18.522
Eixample,Districte,Primera etapa d’educació secundària i similar,-,-,-,-,29.160,29.048,28.325
Eixample,Districte,Segona etapa d’educació secundària i similar,-,-,-,-,51.426,50.654,51.418
Eixample,Districte,Educació superior,-,-,-,-,134.421,136.785,143.384
el Fort Pienc,Barri,Educació primària o inferior,-,-,-,-,2.922,2.735,2.836
el Fort Pienc,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,4.065,4.172,4.163
el Fort Pienc,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,6.735,6.664,7.044
el Fort Pienc,Barri,Educació superior,-,-,-,-,15.405,15.800,16.815
la Sagrada Família,Barri,Educació primària o inferior,-,-,-,-,4.839,4.365,4.182
la Sagrada Família,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,6.612,6.592,6.356
la Sagrada Família,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,10.299,10.145,10.388
la Sagrada Família,Barri,Educació superior,-,-,-,-,24.126,24.481,25.624
la Dreta de l'Eixample,Barri,Educació primària o inferior,-,-,-,-,2.424,2.273,2.169
la Dreta de l'Eixample,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,3.393,3.333,3.312
la Dreta de l'Eixample,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,7.722,7.595,7.549
la Dreta de l'Eixample,Barri,Educació superior,-,-,-,-,24.807,25.505,26.490
l'Antiga Esquerra de l'Eixample,Barri,Educació primària o inferior,-,-,-,-,2.718,2.418,2.412
l'Antiga Esquerra de l'Eixample,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,3.738,3.725,3.608
l'Antiga Esquerra de l'Eixample,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,8.082,7.871,7.960
l'Antiga Esquerra de l'Eixample,Barri,Educació superior,-,-,-,-,23.058,23.419,24.692
la Nova Esquerra de l'Eixample,Barri,Educació primària o inferior,-,-,-,-,4.200,3.828,3.697
la Nova Esquerra de l'Eixample,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,6.234,6.135,5.941
la Nova Esquerra de l'Eixample,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,11.160,11.026,11.024
la Nova Esquerra de l'Eixample,Barri,Educació superior,-,-,-,-,29.313,29.656,30.992
Sant Antoni,Barri,Educació primària o inferior,-,-,-,-,3.678,3.371,3.226
Sant Antoni,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,5.118,5.091,4.945
Sant Antoni,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,7.428,7.353,7.453
Sant Antoni,Barri,Educació superior,-,-,-,-,17.712,17.924,18.771
Sants-Montjuïc,Districte,Educació primària o inferior,-,-,-,-,23.619,20.774,21.023
Sants-Montjuïc,Districte,Primera etapa d’educació secundària i similar,-,-,-,-,33.912,33.094,33.464
Sants-Montjuïc,Districte,Segona etapa d’educació secundària i similar,-,-,-,-,37.575,36.808,38.882
Sants-Montjuïc,Districte,Educació superior,-,-,-,-,67.518,67.636,71.903
el Poble-sec,Barri,Educació primària o inferior,-,-,-,-,5.256,4.658,4.436
el Poble-sec,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,7.488,7.359,7.172
el Poble-sec,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,7.842,7.698,7.908
el Poble-sec,Barri,Educació superior,-,-,-,-,14.340,14.421,15.011
la Marina del Prat Vermell,Barri,Educació primària o inferior,-,-,-,-,285,269,264
la Marina del Prat Vermell,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,426,462,462
la Marina del Prat Vermell,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,207,249,284
la Marina del Prat Vermell,Barri,Educació superior,-,-,-,-,243,303,412
la Marina de Port,Barri,Educació primària o inferior,-,-,-,-,4.428,4.063,3.862
la Marina de Port,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,7.449,7.387,7.290
la Marina de Port,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,6.522,6.471,6.700
la Marina de Port,Barri,Educació superior,-,-,-,-,8.298,8.472,8.832
la Font de la Guatlla,Barri,Educació primària o inferior,-,-,-,-,1.191,1.172,1.184
la Font de la Guatlla,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,1.680,1.844,1.831
la Font de la Guatlla,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,2.076,2.139,2.151
la Font de la Guatlla,Barri,Educació superior,-,-,-,-,4.155,4.205,4.474
Hostafrancs,Barri,Educació primària o inferior,-,-,-,-,1.779,1.652,1.598
Hostafrancs,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,2.664,2.594,2.551
Hostafrancs,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,3.051,3.142,3.228
Hostafrancs,Barri,Educació superior,-,-,-,-,6.507,6.538,6.817
la Bordeta,Barri,Educació primària o inferior,-,-,-,-,2.376,2.209,2.151
la Bordeta,Barri,Primera etapa d’educació secundària i similar,-,-,-,-,3.405,3.380,3.335
la Bordeta,Barri,Segona etapa d’educació secundària i similar,-,-,-,-,3.960,3.959,4.128
la Bordeta,Barri,Educació superior,-,-,-,-,7.158,7.311,7.790
