Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Catalunya,Comunitat Autònoma,-,-,-,-,-,52.941,56.812,62.671,80.126,97.818,116.188,127.813,138.621,150.200,149.733,141.767,142.714,156.936,167.953,162.520,135.509,167.842,152.770,132.988,118.626,108.057
Metropolità de Barcelona,Àmbit funcional territorial,-,-,-,-,-,41.198,42.903,45.208,55.515,67.416,78.217,85.187,92.478,102.084,101.258,92.316,93.068,105.074,113.744,109.321,89.627,114.321,102.184,87.099,75.010,68.299
Barcelona,Municipi,14.983,17.046,18.035,20.376,22.633,23.982,23.975,24.162,27.414,32.177,36.873,38.156,41.047,44.819,44.411,40.623,42.182,49.953,53.524,51.294,40.416,57.158,47.927,38.683,32.903,30.789
Ciutat Vella,Districte,1.540,1.675,1.978,2.125,2.443,2.398,2.443,2.386,2.701,3.189,3.808,3.996,4.167,4.447,4.343,4.182,4.484,4.977,4.607,4.544,3.462,4.771,3.958,2.914,2.370,2.763
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.583,1.484,1.733,2.003,1.918,1.929,1.467,2.003,1.626,1.207,1.059,1.065
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,630,684,785,808,967,890,730,1.050,882,614,449,544
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566,703,789,857,415,385,274,362,341,236,205,448
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,982,1.014,1.177,1.309,1.307,1.340,991,1.356,1.109,857,657,706
Eixample,Districte,4.207,4.515,4.535,5.176,5.754,5.741,5.587,5.818,6.407,7.457,8.541,8.617,9.275,9.909,9.347,8.538,8.457,10.024,11.513,10.994,8.469,12.688,9.974,7.612,6.420,6.036
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,910,806,870,1.054,1.191,1.144,914,1.398,1.033,770,620,638
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.461,1.456,1.485,1.756,2.002,1.977,1.510,2.225,1.748,1.338,1.147,1.013
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.430,1.422,1.611,1.871,2.212,2.077,1.628,2.313,1.808,1.514,1.188,1.197
l'Antiga Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.614,1.506,1.625,1.928,2.192,2.111,1.599,2.407,1.946,1.479,1.318,1.182
la Nova Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.794,1.727,1.766,2.064,2.404,2.236,1.740,2.631,2.080,1.530,1.312,1.277
Sant Antoni,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.165,1.083,1.100,1.351,1.512,1.449,1.078,1.714,1.359,981,835,729
Sants-Montjuïc,Districte,1.576,1.771,1.897,2.083,2.480,2.613,2.592,2.543,3.033,3.492,4.088,4.226,4.694,4.973,4.957,4.297,4.285,4.930,5.769,5.216,4.214,5.878,5.200,3.985,3.614,3.481
el Poble Sec - AEI Parc Montjuïc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.109,1.009,1.150,1.211,1.471,1.301,1.062,1.502,1.190,863,779,765
la Marina del Prat Vermell - AEI Zona Franca,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,21,10,4,3,63,5,7,65,93,214,78
la Marina de Port,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,392,354,380,402,463,411,317,472,435,302,283,251
la Font de la Guatlla,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263,202,263,277,365,320,239,317,272,238,164,157
Hostafrancs,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489,454,435,566,646,522,443,634,463,407,339,370
la Bordeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,372,307,268,420,450,395,324,480,693,550,426,465
Sants - Badal,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,666,634,609,651,781,756,627,883,693,503,482,484
Sants,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.230,1.068,1.170,1.399,1.590,1.448,1.197,1.583,1.389,1.029,927,911
Les Corts,Districte,466,603,652,754,818,896,813,889,995,1.121,1.394,1.488,1.528,1.876,1.892,1.814,1.847,2.131,2.357,2.300,1.842,2.569,2.133,1.649,1.422,1.499
les Corts,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.013,988,1.109,1.323,1.436,1.394,1.111,1.611,1.299,1.018,867,939
la Maternitat i Sant Ramon,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,501,517,549,612,688,651,531,727,605,440,384,393
Pedralbes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,195,189,196,233,255,200,231,229,191,171,167
Sarrià-Sant Gervasi,Districte,1.457,1.778,1.787,2.083,2.205,2.342,2.390,2.463,2.576,2.990,3.453,3.720,3.910,4.293,4.308,4.152,4.107,4.616,5.305,5.345,4.169,5.822,5.107,3.877,3.499,3.462
"Vallvidrera, el Tibidabo i les Planes",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,52,66,69,96,77,67,70,88,62,66,47
Sarrià,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,516,507,585,681,812,788,647,873,677,584,541,520
les Tres Torres,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,309,297,330,336,421,408,356,399,380,272,268,258
Sant Gervasi - la Bonanova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663,732,727,802,928,960,687,1.019,877,627,580,587
Sant Gervasi - Galvany,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.340,1.265,1.395,1.530,1.787,1.774,1.411,1.997,1.828,1.446,1.245,1.231
el Putxet i el Farró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,938,1.016,1.004,1.198,1.261,1.338,1.001,1.464,1.257,886,799,819
Gràcia,Districte,1.587,1.882,1.964,2.249,2.407,2.488,2.512,2.514,2.937,3.390,3.937,4.039,4.220,4.536,4.521,4.192,4.049,4.851,5.221,5.097,3.893,5.697,4.733,3.518,3.086,3.021
Vallcarca i els Penitents,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,417,459,552,562,558,444,619,539,413,342,342
el Coll,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174,162,198,193,223,214,162,231,195,159,154,152
la Salut,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,311,284,300,406,396,388,271,422,404,284,245,239
la Vila de Gràcia,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.224,2.105,2.191,2.570,2.686,2.682,2.074,2.978,2.430,1.781,1.562,1.602
el Camp d'en Grassot i Gràcia Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,937,941,903,1.129,1.352,1.256,944,1.445,1.164,881,783,686
Horta-Guinardó,Districte,1.170,1.315,1.456,1.643,1.783,2.002,1.950,2.025,2.232,2.683,3.041,3.050,3.331,3.772,3.853,3.527,3.656,4.196,4.511,4.380,3.337,4.538,4.031,3.278,2.779,2.674
el Baix Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,601,605,609,746,813,777,620,865,684,538,431,453
Can Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,211,207,269,285,265,200,277,239,177,162,158
el Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,918,808,889,1.061,1.076,1.085,886,1.184,1.048,841,635,681
la Font d'en Fargues,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,110,123,128,138,147,108,147,118,127,103,84
el Carmel,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,637,559,613,715,772,716,571,707,658,556,490,418
la Teixonera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242,254,311,301,295,289,235,302,277,242,186,200
Sant Genís dels Agudells,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,146,164,170,215,175,108,145,174,113,148,123
Montbau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,104,141,141,154,177,93,155,156,120,115,80
la Vall d'Hebron,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,62,77,76,100,108,76,114,85,61,85,45
la Clota,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,15,8,14,11,9,7,5,9,18,12
Horta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,444,427,505,582,651,629,429,637,588,494,406,420
Nou Barris,Districte,834,856,967,1.171,1.247,1.505,1.489,1.535,1.932,2.298,2.353,2.609,2.883,3.127,3.224,2.724,2.788,3.146,3.444,3.219,2.546,3.160,3.026,2.391,2.192,1.924
Vilapicina i la Torre Llobeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,446,395,450,585,598,584,448,610,551,425,369,346
Porta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,521,490,489,557,663,539,405,550,531,407,370,331
el Turó de la Peira,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,259,300,349,380,400,300,395,348,275,255,243
Can Peguera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,11,18,14,7,7,6,5,5,2,11,15
la Guineueta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237,188,241,287,343,270,256,270,275,196,206,156
Canyelles,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,21,38,47,34,51,54,39,40,43,34,36
les Roquetes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,272,248,264,285,270,258,221,259,272,207,211,155
Verdun,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232,236,232,241,292,287,217,234,272,214,174,161
la Prosperitat,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491,463,473,487,562,555,440,531,481,398,331,332
la Trinitat Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,113,116,121,125,116,82,131,124,94,89,52
Torre Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,21,29,30,21,15,16,14,12,12,52,17
Ciutat Meridiana,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,115,122,127,142,126,92,115,104,113,86,71
Vallbona,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,16,16,7,11,9,7,11,5,4,9
Sant Andreu (Districte),-,835,1.044,1.119,1.327,1.410,1.520,1.654,1.552,1.729,2.196,2.460,2.502,2.743,3.047,3.038,2.724,2.445,2.982,3.285,2.971,2.453,3.373,2.927,2.411,2.132,2.101
la Trinitat Vella,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,143,162,174,174,158,134,167,150,127,143,75
Baró de Viver,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,25,18,11,20,9,13,18,7,10,8,15
el Bon Pastor,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,173,159,167,185,158,174,165,163,181,180,151
Sant Andreu (Barri),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.038,934,961,1.126,1.268,1.149,923,1.231,1.104,910,751,810
la Sagrera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,618,577,535,669,708,700,491,822,721,551,526,513
el Congrés i els Indians,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284,240,237,309,367,328,264,399,310,246,199,223
Navas,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,435,449,373,526,563,469,454,571,472,386,325,314
Sant Martí,Districte,1.311,1.607,1.680,1.765,2.086,2.477,2.545,2.437,2.872,3.361,3.798,3.909,4.296,4.839,4.928,4.473,4.510,5.473,5.969,5.723,4.727,6.204,5.603,4.936,3.605,3.674
el Camp de l'Arpa del Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.059,1.020,1.034,1.239,1.398,1.302,1.067,1.432,1.186,894,777,751
el Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581,553,525,672,720,648,559,735,583,474,405,407
el Parc i la Llacuna del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,269,309,368,409,435,305,439,426,305,259,220
la Vila Olímpica del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153,165,173,219,224,264,204,269,208,166,147,168
el Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,781,720,839,973,1.072,1.060,849,1.155,966,800,567,601
Diagonal Mar i el Front Marítim del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,234,337,394,413,321,320,433,292,615,243,208
el Besòs i el Maresme,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,347,273,251,354,418,425,315,404,378,321,211,257
Provençals del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,304,362,427,446,418,354,451,430,301,290,335
Sant Martí de Provençals,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,349,377,454,486,467,424,507,558,402,341,304
la Verneda i la Pau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317,328,303,373,383,383,330,379,576,658,365,423
